post_id,author,title,body,image,image description
9ttzaz,BeneficialExcitement,ever; seemingly; unrelated; conflict; someone; revealed; incompatible; underlying; way; looking; world; navigate; conflict,,-1,
9tn5i2,Treesarescary,know; difference; good; stare; stare,sure; right; point; right; direction; something; curious; tend; stared; quite; tell; people; staring; think; gross; think; good; looking; visual; distinguish; kind; stare,-1,
9tk4zp,simulacransimulation,attractiveness; treatment; others,best; analogy; produced; know; incomplete; still; people; wrong; side; unattractive; caveat; conventionally; unattractive; feature; gender; specific; seems; seem; agglomerated; human; large; pile; analogy; life; game; played; whether; want; participate; rule; extremely; fixed; bound; inception; regarding; human; interaction; relating; perception; seems; continuum; threshold; unattractiveness; passed; human; universally; develop; pejorative; perception; existential; mistrust; human; behaviour; seems; largely; irrelevant; perception; remains; almost; despite; behaviour; notice; human; notice; game; played; whether; want; participate; included; action; child; example; lovely; baby; always; directed; towards; conventionally; attractive; baby; positive; attribute; child; incrementally; bestowed; attractive; child; objectively; stereotypically; attractive; smarter; taller; funnier; better; child; behaved; objective; element; measureable; scientifically; quieter; sleep; effected; enter; hell; humanity; subjectivity; often; bearing; little; resemblance; objective; measurable; truth; game; rigid; rule; people; obey; follow; unquestionably; unwittingly; point; rule; human; anathema; reject; knowledge; reject; abide; irregardless; intelligence; believe; great; equaliser; greatest; mind; biggest; fool; elon; musk; detail; human; flaw; interact; unattractive; people; plight; really; expose; human; interact; unattractive; people; exposition; human; formulate; reality; perceive; apex; perception; value; human; framework; exists; around; fantastic; exposition; subject; book; called; sumilacra; simulation; explains; dynamic; human; nature; sign; value; object; orientated; view; marx; value; system; put; hierarchical; structure; sign; value; subsumes; value; higher; production; exchange; value; object; question; luxury; status; mainly; consumerist; object; house; determine; higher; status; amend; include; within; object; social; dimension; attractiveness; concurrent; effect; higher; attractiveness; higher; social; status; highest; highest; object; subsumes; others; attain; status; effect; behaviour; overstated; understand; rule; game; played; observation; player; within; live; game; dynamic; present; objectively; example; wall; street; market; point; rule; dictated; american; government; state; game; fixed; retail; investor; however; peer; operation; market; deeply; watch; going; mechanically; searching; dynamic; market; example; fixed; fixed; example; get; invest; heavily; discounted; price; institution; retailer; general; public; newly; floated; stock; thats; right; listed; open; market; exchange; however; tremendous; catch; time; price; resembles; nothing; like; price; institution; bought; much; much; higher; range; higher; furthermore; month; lock; period; institution; dump; stock; great; height; leaving; retailer; stock; investment; bought; example; many; many; example; greasy; greasy; world; wall; street; eludes; fact; game; semantically; played; reveals; rule; book; tell; virtue; signalling; unattractiveness; rule; book; human; tell; think; brings; next; deficit; humanity; fantastic; virtue; signal; revealing; human; hate; judged; negatively; almost; everything; superficial; maintain; facade; viewed; best; whatever; realm; remember; stretched; thought; morally; human; fight; become; viewed; highest; status; moral; realm; thus; ever; give; excuse; face; unattractive; invited; party; prejudicial; socially; rejected; overt; lack; scientific; research; psychologist; subject; continually; astounded; subject; lookism; harder; researched; psychologist; groundbreaking; book; eminent; psychologist; specifically; value; system; human; aesthetic; nature; system; regarding; massive; topic; like; human; interaction; ridiculous; prevalent; occurrence; none; psychologist; investigated; human; behaviour; field; absurd; absence; believe; reason; human; like; think; oppressed; especially; vanity; appearance; matter; unattractive; occurs; anyone; human; indisputably; deny; absurd; ever; experienced; human; heavily; linked; commercial; reason; pursual; fact; cause; distinct; lack; audience; book; causing; funding; interest; medium; area; thus; le; psychologist; study; effort; researching; publishing; field; back; human; inextricably; tied; increasing; status; among; human; whatever; field; whatever; field; human; existence; comparative; advantage; exploited; noticed; lack; moral; within; whole; complex; main; contention; humanity; basic; value; system; account; worse; believe; hypergamous; nature; every; field; incompatible; morality; look; semantically; human; operates; explained; kind; paradox; among; psychologist; whereby; immorality; colour; massive; decision; area; investigation; whole; cake; inbuilt; greed; status; notoriety; sale; intellectual; reception; review; whatever; element; status; seek; taint; behaviour; immorally; topic; unfavourable; uncomfortable; sell; popular; niche; whatever; never; investigated; sustained; constant; cost; benefit; analysis; status; effort; another; example; popular; people; maligned; society; engage; hierarchical; behaviour; based; status; accepted; population; except; ever; increasingly; niche; field; rejected; retreat; manship; field; like; comic; book; star; war; seems; popular; morality; completely; utterly; maligned; rush; unattractive; people; solve; community; social; health; economic; failing; pressing; need; time; right; wrong; indifferent; know; cheer; danny,-1,
9tyki2,Palikan27,woman; find; benevolent; sexist; trait; attractive; regardless; opinion; gender; equality,,-1,
9v3re8,redpill_truths,anyone; else; think; diet; play; played; huge; role; height; forward; growth; face; west; country; perhaps; genetics,coincidence; asian; tend; shorter; example; flatter; face; le; forward; growth; given; long; term; insistence; diet; consists; soft; food; rice; similar; thing; malnourished; part; africa; south; asian; subcontinent; another; good; example; norther; harder; meaty; diet; probably; explains; people; afghanistan; many; part; pakistan; higher; chance; protruding; maxilla; someone; southern; india; vegan; diet; le; hard; food; traditionally; human; ancestor; straight; teeth; strong; jaw; given; reliance; upon; strong; high; protein; calorie; food; recently; time; changed; place; grown; accustomed; high; calorie; diet; united; state; shorter; people; average; le; aesthetic; face; average; compared; germany; sweden; still; overall; harder; diet; mike; talk; softer; food; need; generation; face; start; dropping; specifically; flesh; around; maxilla; mandible; start; dropping; vertically; rather; naturally; extend; horizontally; greatly; impact; aesthetic; face; given; forward; growth; probably; number; determiner; facial; attractiveness,-1,
9wixxi,chadbhava,many; grinder; user; state; hookeups; profile; attractiveness; rating; distributed,,-1,
9wac62,PovertyRyanGosling,prettyboys; liked; younger; woman; resemble; masculinized; version; attractive; woman,,-1,
9w705w,Young-disciple,surgery,,-1,
9xc962,incelicious,study; confirms; robut; line; defined; brow; ridge; important; confirmed; beard; signal; betabux; femoids; social; dominance; long; term; relationship; chad; sexual; dominance,,-1,
9xc4qz,1337warrior,feminist; leftist; finland; campaigning; redefine; rape,feminist; leftist; recently; required; signature; government; petition; redefine; rape; proposal; debated; parliament; kansalaisaloite; aloite; finnish; definition; according; would; make; rape; based; consent; rather; violence; coercion; would; considered; rape; female; drunk; using; mood; altering; substance; including; narcotic; prescription; drug; like; medicine; used; treat; mental; health; around; female; type; medication; female; indicates; behavior; want; basically; stop; magically; read; mind; body; language; clear; female; regret; withdraw; consent; intercourse; performed; expected; basically; dick; small; orgasm; quickly; want; give; head; rape; female; younger; would; increase; consent; finland; would; join; progressive; european; country; like; vatican; turkey; european; country; consent; circumstance; clear; female; could; consent; basically; make; whatever; argument; want; would; apply; male; honest; mostly; female; would; male; worry; expand; type; legislation; future; simply; making; someone; feel; uncomfortable; staring; looking; long; tantamount; rape; seen; feminist; argue; accused; recourse; always; believe; victim; feminist; suggest; scary; time; west; first; opportunity,-1,
